,State,Diabetes Mean,Diabetes Min,Diabetes Max,Prediabetes Mean,Prediabetes Min,Prediabetes Max,Hypertension Mean,Hypertension Min,Hypertension Max,Generalized Obesity Mean,Generalized Obesity Min,Generalized Obesity Max,Abdominal Obesity Mean,Abdominal Obesity Min,Abdominal Obesity Max,Source
0,Andhra Pradesh,9.5,3.7,15.5,10.4,4.2,16.9,30.4,21.3,39.4,27.4,18.0,37.0,29.7,15.5,44.1,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle160
1,Arunachal Pradesh,6.0,2.4,9.7,13.5,8.0,19.1,35.1,27.4,42.8,21.5,15.0,28.0,32.6,24.9,40.4,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle161 
2,Assam,6.7,3.0,10.4,12.5,7.4,17.6,34.1,26.9,41.3,13.1,8.0,18.3,21.0,15.1,27.0,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle162
3,Bihar,5.4,2.2,8.8,11.1,6.1,16.1,28.5,21.6,35.3,12.5,7.8,17.3,24.0,17.7,30.3,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle163
4,Chandigarh,20.4,11.0,29.9,15.6,7.5,23.9,45.1,32.5,57.0,43.8,32.7,54.8,55.0,42.6,67.2,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle164
5,Chhattisgarh,10.3,5.4,15.3,20.7,14.0,27.6,31.2,24.0,38.5,18.5,11.9,25.2,29.2,21.6,36.8,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle165
6,Delhi,17.8,9.3,26.2,18.0,9.4,26.8,45.0,34.4,55.3,46.1,35.1,57.1,60.3,50.3,70.3,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle166
7,Goa,26.4,19.3,33.7,20.3,13.2,27.4,45.8,37.5,54.2,44.4,35.2,53.8,51.8,42.6,61.0,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle167
8,Gujarat,8.2,3.2,13.3,10.5,4.8,16.3,28.5,19.7,37.2,23.5,14.6,32.4,30.6,21.4,39.8,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle168
9,Haryana,12.4,7.5,17.5,18.2,12.0,24.5,31.1,23.2,39.0,39.6,31.6,47.6,60.6,52.6,68.7,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle169
10,Himachal Pradesh,13.5,8.8,18.4,18.7,12.9,24.5,35.3,28.4,42.1,38.7,31.1,46.3,56.1,48.5,63.7,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle170
11,Jharkhand,7.2,3.2,11.4,9.5,4.4,14.7,29.7,22.4,36.9,11.6,6.7,16.6,18.4,12.4,24.4,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle171
12,Karnataka,10.6,5.3,16.0,13.0,6.8,19.3,31.5,23.0,40.0,26.9,19.3,34.4,35.4,26.9,43.9,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle172
13,Kerala,25.5,17.4,33.7,18.3,10.4,26.2,47.6,38.2,56.9,45.6,35.4,55.9,58.9,49.5,68.3,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle173
14,Madhya Pradesh,7.1,3.0,11.3,20.1,13.6,26.7,25.6,18.2,33.0,19.3,12.6,25.9,28.5,21.0,36.1,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle174
15,Maharashtra,10.3,4.4,16.5,12.8,6.3,19.2,35.1,25.5,44.5,20.5,12.4,28.7,23.1,14.6,31.6,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle175
16,Manipur,6.6,2.7,10.6,8.1,3.5,12.8,35.2,26.7,43.7,32.0,23.5,40.5,42.3,33.5,51.1,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle176
17,Meghalaya,5.2,1.9,8.6,10.3,5.2,15.4,24.3,17.8,30.7,13.7,8.5,19.0,23.6,16.9,30.5,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle177
18,Mizoram,7.7,3.0,12.7,6.8,2.5,11.2,31.1,22.8,39.5,28.1,20.0,36.4,36.7,28.1,45.4,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle178
19,Nagaland,6.0,2.3,9.8,9.4,3.8,15.0,38.1,29.1,47.1,22.3,14.8,29.9,31.2,23.0,39.5,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle179
20,Odisha,9.7,4.9,14.6,13.0,7.1,19.0,40.1,32.1,48.2,27.5,19.3,35.8,37.7,29.0,46.4,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle180
21,Puducherry,26.3,16.1,36.4,25.8,15.8,36.1,39.5,30.3,48.7,53.3,42.1,64.4,61.2,50.5,71.9,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle181
22,Punjab,12.7,6.3,19.3,8.7,3.2,14.4,51.8,41.3,62.2,43.8,32.8,54.9,59.6,48.5,70.7,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle182
23,Rajasthan,6.8,3.0,10.7,16.1,10.3,22.1,29.7,22.6,36.8,24.2,17.3,31.1,36.1,28.3,44.0,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle183
24,Sikkim,12.8,5.9,19.7,31.3,21.7,41.2,44.5,32.5,56.0,40.7,28.1,53.5,53.5,42.4,64.5,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle184
25,Tamil Nadu,14.4,7.9,21.2,10.2,4.4,16.1,38.3,29.0,47.5,28.8,20.0,37.6,32.8,23.8,41.9,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(23)00119-5/fulltext#seccestitle185
