,0,1,2
0,30.4,27.4,29.7
1,35.1,21.5,32.6
2,34.1,13.1,21.0
3,28.5,12.5,24.0
4,45.1,43.8,55.0
5,31.2,18.5,29.2
6,45.0,46.1,60.3
7,45.8,44.4,51.8
8,28.5,23.5,30.6
9,31.1,39.6,60.6
10,35.3,38.7,56.1
11,29.7,11.6,18.4
12,31.5,26.9,35.4
13,47.6,45.6,58.9
14,25.6,19.3,28.5
15,35.1,20.5,23.1
16,35.2,32.0,42.3
17,24.3,13.7,23.6
18,31.1,28.1,36.7
19,38.1,22.3,31.2
20,40.1,27.5,37.7
21,39.5,53.3,61.2
22,51.8,43.8,59.6
23,29.7,24.2,36.1
24,44.5,40.7,53.5
25,38.3,28.8,32.8
26,31.8,25.7,27.0
27,33.1,15.8,29.9
28,27.4,24.5,34.6
29,38.4,35.1,48.6
30,42.4,26.3,42.8
