,0,1,2,3
0,44.5,40.7,53.5,12.8
1,31.5,26.9,35.4,10.6
2,30.4,27.4,29.7,9.5
3,45.1,43.8,55.0,20.4
4,35.2,32.0,42.3,6.6
5,31.2,18.5,29.2,10.3
6,47.6,45.6,58.9,25.5
7,29.7,11.6,18.4,7.2
8,51.8,43.8,59.6,12.7
9,35.1,21.5,32.6,6.0
10,34.1,13.1,21.0,6.7
11,38.3,28.8,32.8,14.4
12,28.5,12.5,24.0,5.4
13,39.5,53.3,61.2,26.3
14,31.8,25.7,27.0,9.9
15,31.1,28.1,36.7,7.7
16,42.4,26.3,42.8,13.7
17,40.1,27.5,37.7,9.7
18,45.8,44.4,51.8,26.4
19,35.3,38.7,56.1,13.5
20,25.6,19.3,28.5,7.1
21,27.4,24.5,34.6,4.8
22,38.1,22.3,31.2,6.0
23,45.0,46.1,60.3,17.8
