,Year,Projects,Spending,Spending per project
0,2002,7.0,235.893600314,33.651012883594866
1,2003,15.0,345.821299942,23.03939373364424
2,2004,20.0,222.885435397,11.13870241864068
3,2005,30.0,403.37237944799995,13.441265559746748
4,2006,37.0,500.61308754400005,13.526427655876793
5,2007,48.0,974.2285760470004,20.292201125744647
6,2008,52.0,755.0831729490002,14.518038318573355
7,2009,44.0,799.5982384330001,18.168558019381962
8,2010,44.0,665.2366070280001,15.115578437355149
9,2011,37.0,497.90806952800006,13.453338814590653
10,2012,37.0,631.3113809760001,17.05785952380438
11,2013,37.0,588.890288178,15.911653287706025
12,2014,43.0,601.692257339,13.989589800953267
13,2015,59.0,712.2109525989996,12.069326429401789
14,2016,63.0,879.4689777470002,13.957609550023808
15,2017,57.0,932.0703378659998,16.349242902403084
16,2018,31.0,719.9303845479998,23.2160717364721
17,2019,17.0,1109.863440787,65.2477037499706
18,2020,26.0,1399.8842163800002,53.82100024529028
19,2021,21.0,1196.8776676999998,56.967047486910985
20,2022,15.0,700.1722476250001,46.647051807128584
21,2023,12.0,961.5009713,80.05836563696919
